backers_count,category,country,spotlight,staff_pick,state,usd_pledged,live_period,state_change_period,usd_goal
120,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",CH,TRUE,FALSE,successful,29848.60730682,29,29,25131.207207
108,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}",US,TRUE,FALSE,successful,5265.82,30,30,4000
106,"{""id"":53,""name"":""Public Art"",""slug"":""art/public art"",""position"":9,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/public%20art""}}}",US,TRUE,FALSE,successful,4795,24,24,4000
16,"{""id"":33,""name"":""Webseries"",""slug"":""film & video/webseries"",""position"":19,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/webseries""}}}",GB,TRUE,FALSE,successful,1488.08881112,29,29,1440.5506400000002
12,"{""id"":294,""name"":""Experimental"",""slug"":""film & video/experimental"",""position"":6,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/experimental""}}}",GB,TRUE,FALSE,successful,793.28310384,60,60,776.459808
363,"{""id"":16,""name"":""Technology"",""slug"":""technology"",""position"":14,""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology""}}}",FR,TRUE,FALSE,successful,42457.59601292,38,38,29099.679249999997
118,"{""id"":37,""name"":""Country & Folk"",""slug"":""music/country & folk"",""position"":5,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/country%20&%20folk""}}}",US,TRUE,FALSE,successful,5607,30,30,5500
87,"{""id"":276,""name"":""Fine Art"",""slug"":""photography/fine art"",""position"":2,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/fine%20art""}}}",US,TRUE,TRUE,successful,11562,20,20,10000
98,"{""id"":42,""name"":""Pop"",""slug"":""music/pop"",""position"":14,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/pop""}}}",US,TRUE,FALSE,successful,6092,54,54,5800
71,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,4085,18,18,4000
9,"{""id"":282,""name"":""Festivals"",""slug"":""theater/festivals"",""position"":3,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/festivals""}}}",US,FALSE,FALSE,failed,290,45,45,15000
627,"{""id"":292,""name"":""Comedy"",""slug"":""film & video/comedy"",""position"":3,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/comedy""}}}",US,TRUE,TRUE,successful,32807,29,29,7500
